countries,x,y
Algeria,-105,193
Angola,-5,-96
Benin,-111,61
Botswana,45,-171
Burkina Faso,-141,79
Burundi,90,-35
Cape Verde,-270,105
Cameroon,-42,22
Central African Republic,15,40
Chad,4,100
Comoros,197,-85
Democratic Republic of the Congo,40,-34
Republic of the Congo,-18,-15
Cote d'Ivoire,-168,48
Djibouti1,79,81
Egypt,79,179
Equatorial Guinea,-53,2
Eritrea,144,109
Eswatini,93,-202
Ethiopia,147,56
Gabon,-44,-15
Gambia,-237,91
Ghana,-135,45
Guinea,-203,71
Guinea-Bissau,-231,82
Kenya,145,-6
Lesotho,70,-223
Liberia,-197,42
Libya,-3,189
Madagascar,202,-150
Malawi,115,-108
Mali,-138,127
Mauritania,-194,133
Mauritius,248,-157
Morocco,-155,230
Mozambique,116,-144
Namibia,-12,-159
Niger,-58,116
Nigeria,-70,60
Rwanda,90,-23
Sao Tome and Principe,-79,-9
Senegal,-228,105
Seychelles,258,-44
Sierra Leone,-210,53
Somalia,213,35
South Africa,25,-227
South Sudan,84,46
Sudan,82,112
Tanzania,119,-51
Togo,-118,51
Tunisia,-54,246
Uganda,108,4
Zambia,57,-114
Zimbabwe,83,-145
