,0
0,Algeria
1,Angola
2,Benin
3,Botswana
4,Burkina Faso
5,Burundi
6,Cape Verde
7,Cameroon
8,Central African Republic
9,Chad
10,Comoros
11,Democratic Republic of the Congo
12,Republic of the Congo
13,Cote d'Ivoire
14,Djibouti1
15,Egypt
16,Equatorial Guinea
17,Eritrea
18,Eswatini
19,Ethiopia
20,Gabon
21,Gambia
22,Ghana
23,Guinea
24,Guinea-Bissau
25,Kenya
26,Lesotho
27,Libya
28,Madagascar
29,Malawi
30,Mali
31,Mauritania
32,Mauritius
33,Morocco
34,Mozambique
35,Namibia
36,Niger
37,Nigeria
38,Rwanda
39,Sao Tome and Principe
40,Senegal
41,Seychelles
42,Sierra Leone
43,Somalia
44,South Africa
45,South Sudan
46,Sudan
47,Tanzania
48,Tunisia
49,Uganda
50,Zambia
51,Zimbabwe
